LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Rank,D_Score,E_Score,Penalty,Score,HB_score,HB_num_of_samples,PH_score,PH_num_of_samples,FX_score,FX_num_of_samples,PB_score,PB_num_of_samples,SR_score,SR_num_of_samples,VT_score,VT_num_of_samples
vera,adria,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",57.0,5.0,7.666,,11.581923076923077,12.038666666666666,3,12.377666666666668,3,12.45,1,12.8,1,13.105333333333334,3,6.375,2
gahramanov,aghamurad,m,AZE,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",87.0,5.5,6.933,,11.916333333333334,11.566,1,9.3,1,12.433,1,12.6,1,12.066,1,13.533,1
davidsson,agust,m,ISL,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",115.0,3.2,7.966,,12.32875,11.166,1,,0,,0,12.866,1,12.6415,2,,0
abu,ahmad,m,JOR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",2.0,6.3,8.566,,13.683,,0,13.683,6,,0,,0,,0,,0
abdelrahman,ahmed,m,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",116.0,5.4,7.433,0.9,11.910666666666666,12.966,1,12.616,2,8.133000000000001,3,13.233,2,,0,13.46625,4
aliouat,ahmed,m,ALG,27-30 Apr 2023,World Cup,qual,"Cairo, Egypt",18.0,4.6,8.233,,13.083,12.833,1,,0,,0,13.333,1,,0,,0
elmaraghy,ahmed,m,EGY,23-26 Feb 2023,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",43.0,5.0,5.9,,13.099571428571428,13.099571428571428,7,,0,,0,,0,,0,,0
onder,ahmet,m,TUR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",29.0,5.7,8.1,,13.26528125,13.049500000000002,6,11.8996,5,13.710833333333333,6,13.566199999999998,5,13.09975,4,14.033166666666666,6
önder,ahmet,m,TUR,8-11 Jun 2023,2023 Osijek Challenge Cup,final,"Osijek, Croatia.",2.0,5.8,8.0,,12.950000000000001,11.7,2,,0,13.2625,4,13.366666666666667,3,,0,,0
frick,aiden,m,AUS,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",57.0,4.7,7.8,,12.5388,12.2,1,12.35,3,12.533333333333333,3,13.188666666666668,3,12.149999999999999,4,13.066,1
karsikas,akseli,m,FIN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",130.0,4.8,7.6,0.1,12.213470588235294,12.222,3,,0,11.683,2,10.944333333333333,3,12.116,2,12.933142857142856,7
rakan,al,m,QAT,23-26 Feb 2023,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",39.0,4.7,8.1,,12.69975,,0,12.69975,4,,0,,0,,0,,0
perez,alberto,m,CRC,24-28 Jun 2023,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",30.0,3.1,7.05,,10.175,10.15,1,8.4,1,,0,11.6,1,10.55,1,,0
de,alejandro,m,CUB,24-28 Jun 2023,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",29.0,4.9,6.1,0.3,12.483333333333334,11.15,1,11.45,1,10.7,1,12.45,1,13.600000000000001,2,13.133333333333333,3
benda,alexander,m,AUT,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",55.0,5.5,7.766,,12.589823529411763,12.799666666666667,3,11.866333333333335,3,13.383,2,12.377333333333333,3,12.144,3,13.232999999999999,3
kunz,alexander,m,GER,1-5 Aug 2023,2023 FISH World University Games,AAfinal,"Chengdu, China",17.0,5.6,7.4,0.2,12.920200000000001,12.3398,5,12.33325,4,13.103200000000001,5,13.029,4,12.9832,5,13.432285714285713,7
myakinin,alexander,m,ISR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",16.0,6.0,8.0,,13.312333333333333,13.512066666666664,15,13.07275,8,,0,12.233,1,,0,,0
haque,ali,m,BAN,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",27.0,4.5,7.4,0.1,12.425,,0,,0,11.8,1,,0,,0,13.05,1
zahran,ali,m,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",22.0,6.1,7.7,,14.075999999999999,,0,,0,,0,,0,14.075999999999999,7,,0
kinsella,alice,m,ENG,"29 Jul-2 Aug, 2023",BIRMINGHAM 2022 Commonwealth Games,AAqual,"Birmingham, England",,5.0,8.9,,13.9,,0,,0,,0,,0,,0,13.9,1
graikos,alkinoos,m,GRE,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",65.0,5.5,6.6,,12.265999999999998,11.7495,2,12.333,2,11.9665,2,12.533,1,12.133,1,13.63,1
abdullah,ally,m,MAS,23-26 Feb 2023,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",46.0,4.8,5.133,,9.933,,0,,0,,0,,0,9.933,1,,0
cingolani,andrea,m,ITA,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",11.0,6.0,8.066,,13.577333333333334,,0,,0,,0,,0,13.766,2,13.2,1
toba,andreas,m,GER,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",50.0,5.4,7.733,,12.949629629629632,12.939600000000002,5,13.433000000000002,5,13.616,2,13.255333333333333,3,13.657833333333334,6,11.472,6
muntean,andrei,m,ROU,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",110.0,5.2,6.9,,13.788058823529413,12.8,1,,0,12.933250000000001,4,14.421999999999997,6,13.688666666666668,3,14.088666666666667,3
martinez,andres,m,COL,24-28 Jun 2023,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",13.0,5.2,7.9,0.4,12.458483870967743,12.761714285714287,7,11.795142857142858,7,12.342714285714285,7,12.85,3,12.1875,4,13.538666666666666,3
perez,andres,m,PUR,24-28 Jun 2023,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",11.0,5.2,7.65,,12.503571428571428,12.583333333333334,3,11.783333333333333,3,12.85,2,12.85,2,11.899999999999999,2,13.375,2
villegas,andres,m,CRC,24-28 Jun 2023,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",15.0,3.8,8.15,,10.33333333333333,9.875,2,6.199999999999999,2,11.8,2,11.475,2,10.475,2,12.175,2
medvedev,andrey,m,ISR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",109.0,4.0,8.133,,13.770166666666666,,0,,0,12.133,1,,0,12.744,3,14.107,14
frey,andrin,m,SUI,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",60.0,6.0,7.533,0.3,13.039,12.0495,2,12.355333333333334,3,13.555333333333332,3,12.600000000000001,2,12.783000000000001,2,13.8132,5
jaaskelainen,anton,m,FIN,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",62.0,4.0,7.866,,11.658,11.866,1,10.8,1,,0,12.5,1,11.466,1,,0
tantalidis,antonios,m,GRE,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",112.0,5.6,6.566,0.3,12.158888888888889,10.966,1,11.511000000000001,3,12.1995,2,13.166,1,12.7,1,13.666,1
varjolaakso,antti,m,FIN,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",60.0,4.5,7.766,,12.182833333333333,11.566,1,12.2,1,12.266,1,11.733,1,12.266,1,13.066,1
hribar,anze,m,SLO,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",93.0,5.7,6.833,,11.3908,11.9064,5,10.8,1,10.053,5,12.733,1,11.8995,2,13.733,1
kanellos,apostolos,m,GRE,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",103.0,4.7,7.766,0.1,11.76795,11.7198,5,12.016250000000001,4,12.232666666666667,3,10.621999999999998,3,10.783000000000001,2,12.854999999999999,3
federici,ares,m,ITA,27-30 Apr 2023,World Cup,qual,"Cairo, Egypt",10.0,6.2,7.433,0.3,13.186399999999997,13.033,1,,0,13.333,1,,0,12.8,1,13.383,2
jonasson,arnthor,m,,8-11 Jun 2023,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",23.0,4.9,7.35,,12.25,,0,12.25,1,,0,,0,,0,,0
jacobsen,aron,m,DEN,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",76.0,4.7,7.966,,11.642428571428571,11.166,1,10.883,2,12.666,1,11.5,1,12.033,1,12.366,1
dolgopyat,artem,m,ISR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",73.0,5.9,7.1,,13.826500000000001,12.833,2,12.766200000000001,5,14.395375000000001,8,13.583,2,13.166,1,14.312124999999998,8
mariano,arthur,m,BRA,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",19.0,5.5,8.6,,13.691399999999998,14.237000000000002,4,12.0,1,13.888666666666666,3,12.4,1,,0,13.9,1
zanetti,arthur,m,,8-11 Jun 2023,2023 Osijek Challenge Cup,final,"Osijek, Croatia.",2.0,6.2,8.333,,14.5665,,0,,0,,0,,0,14.5665,2,,0
avetisyan,artur,m,ARM,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",4.0,6.0,8.6,,14.567055555555555,,0,,0,,0,,0,14.567055555555555,18,,0
davtyan,artur,m,ARM,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",1.0,5.6,9.4,0.1,14.370186440677967,12.722,3,14.208666666666666,9,13.352,5,13.649833333333333,6,14.016166666666669,6,14.968033333333333,30
tovmasyan,artur,m,,8-11 Jun 2023,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",4.0,5.3,8.45,,13.708,,0,,0,,0,,0,13.708,2,,0
azamov,asadbek,m,UZB,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",28.0,5.0,8.266,,12.823545454545455,11.666,1,11.0,1,12.849499999999999,2,11.933,1,12.583,2,13.898750000000001,4
hong,asher,m,USA,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",6.0,6.0,8.366,0.1,13.838666666666667,11.666666666666666,3,13.845749999999999,4,14.127333333333333,3,14.733333333333334,3,13.91225,4,14.216285714285714,7
matiev,askhab,m,AUT,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",92.0,5.3,7.3,,12.797888888888888,12.599666666666666,3,12.655333333333333,3,12.677666666666667,3,12.766666666666666,3,12.610666666666667,3,13.477333333333334,3
salimov,assan,m,KAZ,25-28 May 2023,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",18.0,4.0,6.65,0.0,12.74988888888889,,0,,0,11.05,1,,0,11.125,2,13.574833333333336,6
valgeirsson,atli,m,ISL,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",91.0,4.7,7.633,,11.4165,,0,11.5,1,12.333,1,9.0,1,,0,12.833,1
nin,audrys,m,DOM,24-28 Jun 2023,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",9.0,4.4,8.6,,13.067916666666667,13.016666666666666,3,12.333200000000001,5,11.725,2,13.141499999999999,4,12.275,2,14.0435,8
benovic,aurel,m,CRO,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",11.0,6.1,8.366,0.2,13.65092857142857,,0,,0,13.541416666666668,12,,0,,0,13.733062499999999,16
kiss,balazs,m,HUN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",29.0,5.4,7.966,,12.839,12.238666666666667,3,12.62875,4,,0,12.533,1,13.330333333333334,6,,0
tomcsanyi,benedek,m,HUN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",45.0,5.4,8.066,,13.111722222222221,12.349499999999999,2,12.9498,5,13.177333333333332,3,13.183,2,13.366333333333332,3,13.522,3
eyre,benjamin,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",16.0,5.3,7.8,0.0,12.308333333333332,11.3,1,11.55,1,13.1,1,11.7,1,12.45,1,13.75,1
osberger,benjamin,m,FRA,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",4.0,5.6,8.633,,13.920916666666665,,0,14.082999999999998,10,13.923999999999998,10,,0,13.1,1,13.644,3
sitchinava,bidzina,m,GEO,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",67.0,5.1,7.733,,11.847052631578947,11.386199999999999,5,11.4464,5,11.7165,2,12.299666666666667,3,12.133,2,13.1665,2
sun,blake,m,USA,9-12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",29.0,6.0,6.066,,12.016,,0,11.966,1,,0,12.066,1,,0,,0
suprun,bohdan,m,UKR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",76.0,5.5,7.5,0.1,12.155333333333333,11.433,2,11.1165,2,11.8665,2,12.616499999999998,2,12.933,2,12.9665,2
zhang,boheng,m,CHN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",9.0,5.8,8.233,,14.374520000000002,14.3398,5,14.0165,4,14.35825,4,15.1915,4,13.9165,4,14.433250000000001,4
kardos,botond,m,HUN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",25.0,5.7,8.166,,13.427416666666668,12.277666666666667,3,,0,13.699333333333334,3,13.877333333333333,3,,0,13.855333333333334,3
molnar,botond,m,HUN,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",16.0,5.6,7.733,,13.437999999999999,13.0165,2,12.4495,2,13.504833333333332,6,13.416,2,12.9495,2,13.820222222222222,9
zlatanov,bozhidar,m,BUL,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",87.0,5.0,7.633,,13.3988,11.266,1,11.166,1,12.633,1,13.344999999999999,4,13.177666666666667,3,13.999799999999999,10
noordzij,bradley,m,NED,25-28 May 2023,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",22.0,4.1,6.4,0.0,11.4,,0,10.5,1,,0,,0,12.3,1,,0
bevan,brinn,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",12.0,5.0,8.35,0.1,13.225000000000001,12.55,2,12.45,2,13.25,1,14.0625,4,12.925,2,13.35,1
malone,brody,m,USA,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",8.0,5.7,8.433,,13.267263157894737,14.149799999999999,5,13.683,3,13.4495,2,14.166,2,13.822000000000001,3,10.89575,4
souza,caio,m,BRA,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",14.0,5.6,8.266,0.1,14.00908,14.104000000000001,4,12.994,3,13.666,2,14.15375,4,13.93325,4,14.393625,8
rooskrantz,caitlin,m,RSA,"29 Jul-2 Aug, 2023",BIRMINGHAM 2022 Commonwealth Games,AAqual,"Birmingham, England",,4.2,8.75,,12.95,,0,,0,,0,,0,,0,12.95,1
bernard,cameron,m,FRA,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",112.0,4.3,7.566,,13.30965,12.116,2,12.249749999999999,4,,0,14.285285714285715,7,13.153,5,13.6,2
lister,cameron,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",29.0,3.5,7.85,0.0,11.45,,0,,0,,0,,0,11.35,1,11.55,1
lynn,cameron,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,final,"Liverpool, England",8.0,5.5,6.87,0.0,12.395685714285714,12.56875,8,11.459999999999999,5,12.644333333333334,6,12.924999999999999,6,13.016666666666666,3,11.933285714285713,7
bernard,cameron-lie,m,FRA,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",32.0,6.2,7.25,,10.440000000000001,,0,12.0,1,,0,13.45,1,13.15,1,6.8,2
kennedy,cara,m,SCO,"29 Jul-2 Aug, 2023",BIRMINGHAM 2022 Commonwealth Games,AAqual,"Birmingham, England",,4.6,8.75,,13.35,,0,,0,,0,,0,,0,13.35,1
hoerr,carlo,m,GER,27-30 Apr 2023,World Cup,qual,"Cairo, Egypt",28.0,5.3,7.533,0.2,12.594,13.4665,2,9.566,1,12.633,1,13.266,1,13.166,1,,0
horr,carlo,m,GER,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",73.0,5.1,6.6,0.4,12.682666666666668,13.2,1,11.966,1,11.3,1,13.0,1,13.0,1,13.63,1
hörr,carlo,m,GE2,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",23.0,5.3,8.3,0.1,13.030000000000001,12.3,1,13.25,1,13.5,1,12.8,1,13.3,1,,0
macchini,carlo,m,ITA,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",15.0,6.1,7.966,,13.716249999999999,14.172999999999998,5,12.955,3,,0,,0,,0,,0
yulo,carlos,m,PHI,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",1.0,6.4,8.766,,14.384675000000001,12.7165,2,11.833,2,14.223571428571429,7,15.17,9,14.03283333333333,6,14.713999999999999,14
schmidt,casimir,m,NED,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",10.0,5.8,8.2,,13.517861111111111,13.266333333333334,6,12.947166666666666,6,13.522166666666665,6,13.594999999999999,7,13.876000000000001,7,13.983,4
yeh,cheng,m,TPE,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",51.0,5.4,7.933,,12.89785,11.73325,4,12.2665,2,13.1245,4,12.955,3,12.6,1,13.754666666666667,6
tang,chia,m,TPE,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",7.0,5.5,8.633,,13.555166666666667,13.3995,2,13.0165,2,14.1495,2,13.4495,2,13.366,2,13.95,2
lee,chih,m,TPE,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",17.0,5.5,8.2,,13.912388888888888,13.73,2,14.6205,8,13.7,1,12.999799999999999,5,13.0,1,14.3,1
kaji,chris,m,CAN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",65.0,5.1,8.0,,13.361500000000001,12.816500000000001,2,,0,12.825,2,13.316500000000001,2,13.933,3,13.9,1
baumann,christian,m,SUI,25-28 May 2023,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",4.0,5.2,8.4,0.0,13.513200000000001,13.6,2,,0,,0,13.25,1,13.558,2,,0
wong,chun,m,HKG,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",78.0,1.6,8.866,,11.582999999999998,,0,,0,,0,,0,,0,11.582999999999998,2
mason,clay,m,AUS,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",107.0,5.5,6.7,,12.735545454545452,12.870750000000001,4,11.283333333333333,3,12.6832,5,13.366666666666665,3,12.2625,4,14.094333333333333,3
masonstephens,clay,m,AUS,05-06 May 2023,Oceania Continental Championships 2023,aa,"Carrara, Australia",,5.7,8.266,0.1,12.999666666666664,12.7,1,11.766,1,13.866,1,12.633,1,12.833,1,14.2,1
bell,clayton,m,GBR,23-26 Mar 2023,2023 British Gymnastics Championships,qual,"Liverpool, England",23.0,5.6,6.8,0.3,12.035714285714286,11.6,1,10.45,1,12.1,1,10.95,1,12.35,1,13.4,2
walker,colt,m,USA,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",131.0,5.3,5.233,0.1,13.332999999999998,13.2,1,,0,10.433,1,14.866,1,13.566,1,14.6,1
dudley,colton,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",21.0,4.7,8.0,0.0,11.358333333333333,11.75,1,9.05,1,12.7,1,10.3,1,12.8,1,11.55,1
shi,cong,m,CHN,1-5 Aug 2023,2023 FISH World University Games,AAfinal,"Chengdu, China",6.0,5.4,8.433,,14.340692307692308,14.755333333333333,3,14.066500000000001,2,13.849499999999999,2,14.683,2,14.383,2,14.099499999999999,2
mcgillivray,conor,m,AUS,8-11 Jun 2023,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",16.0,5.0,8.25,,13.3125,,0,,0,13.075,2,,0,,0,13.391666666666667,6
tulloch,courtney,m,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",3.0,6.1,8.633,,14.202437499999998,,0,,0,13.5966,5,13.4665,2,14.642,13,14.101333333333335,12
phillips,curran,m,USA,9-12 Mar 2023,World Cup,final,"Baku, Azerbaijan",5.0,5.5,7.633,,14.3165,13.633,2,,0,,0,15.0,2,,0,,0
tommasone,cyril,m,FRA,25-28 May 2023,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",6.0,6.0,8.066,0.0,14.18,,0,14.18,2,,0,,0,,0,,0
olafsson,dagur,m,ISL,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",116.0,4.4,7.466,0.1,12.751875000000002,12.633,1,13.0415,2,11.766,1,13.15,2,11.833,1,13.4,1
hashimoto,daiki,m,JPN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",2.0,6.0,8.666,,14.005703703703706,14.783166666666666,6,13.7196,5,14.312999999999999,5,12.158249999999999,4,14.07475,4,14.786666666666667,3
bago,daniel,m,CZE,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",43.0,4.9,8.5,,12.103875,12.233,1,11.766,1,13.4,1,10.6665,2,12.4165,2,13.266,1
carrion,daniel,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",21.0,5.2,8.466,,12.499499999999998,11.633,2,12.466,2,12.116,2,12.8995,2,11.833,1,13.310666666666668,3
fox,daniel,m,IRL,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",100.0,3.8,7.866,,12.705166666666669,11.966,1,12.8,1,11.666,1,12.866,1,13.733,1,13.2,1
