"LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Rank","D_Score","E_Score","Penalty","Score","FullName","HB","PH","FX","PB","SR","VT","BB","UB","Total"
"BALCOVA","Adela","w","SVK","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",76,3.5,7.6,NA,11.1,"Adela_BALCOVA",NA,NA,10.666,NA,NA,12,10.433,10.6665,43.7655
"Siikala","Adeliina","w","FIN","1-4 Jun 2023","2023 Tel Aviv Challenge Cup","qual","Tel Aviv, Israel",15,4.3,6.5,NA,10.8,"Adeliina_Siikala",NA,NA,11.133,NA,NA,12.6835,10.8,6.533,41.1495
"ASIL","Adem","m","TUR","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",17,5.8,8.333,NA,14.133,"Adem_ASIL",13.4923333333333,12.6617142857143,13.973,13.8126666666667,14.8224375,14.2186,NA,NA,82.9807517857143
"TREJO","Adickxon","m","VEN","24-28 Jun 2023","2023 Central American and Caribbean Games","AAfinal","San Salvador, El Salvador",2,5.1,8.35,NA,13.45,"Adickxon_TREJO",11.7,12.525,13.55,13.0666666666667,12.1,13.6,NA,NA,76.5416666666667
"VERA","Adria","m","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",57,5,7.666,NA,12.666,"Adria_VERA",12.033,12.8665,NA,12.8,13.183,NA,NA,NA,50.8825
"VERA MORA","Adria","m","ESP","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",45,4.7,7.75,NA,12.45,"Adria_VERA MORA",12.05,11.4,12.45,NA,12.95,6.375,NA,NA,55.225
"VOSTRUCHOVAITE","Agata","w","LTU","23-26 Feb 2023","FIG Apparatus World Cup 2023","qual","Cottbus, Germany",41,4,5.466,0.1,9.366,"Agata_VOSTRUCHOVAITE",NA,NA,NA,NA,NA,12.54975,9.366,NA,21.91575
"GAHRAMANOV","Aghamurad","m","AZE","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",87,5.5,6.933,NA,12.433,"Aghamurad_GAHRAMANOV",11.566,9.3,12.433,12.6,12.066,13.533,NA,NA,71.498
"SUTO","Agnes","w","ISL","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",118,3.8,4.133,NA,7.933,"Agnes_SUTO",NA,NA,11.433,NA,NA,12.2995,9.1495,9.8165,42.6985
"DAVIDSSON","Agust Ingi","m","ISL","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",115,3.2,7.966,NA,11.166,"Agust Ingi_DAVIDSSON",11.166,NA,NA,12.866,12.533,NA,NA,NA,36.565
"Davidsson","Agust","m","","8-11 Jun 2023","2023 Osijek Challenge Cup","qual","Osijek, Croatia.",15,4.7,8.05,NA,12.75,"Agust_Davidsson",NA,NA,NA,NA,12.75,NA,NA,NA,12.75
"ABU AL SOUD","Ahmad","m","JOR","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","final","Liverpool, England",2,6.3,8.566,NA,14.866,"Ahmad_ABU AL SOUD",NA,13.683,NA,NA,NA,NA,NA,NA,13.683
"ALIOUAT","Ahmed Riadh","m","ALG","27-30 Apr 2023","World Cup","qual","Cairo, Egypt",18,4.6,8.233,NA,12.833,"Ahmed Riadh_ALIOUAT",12.833,NA,NA,13.333,NA,NA,NA,NA,26.166
"ABDELRAHMAN","Ahmed","m","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",116,5.4,7.433,0.9,11.933,"Ahmed_ABDELRAHMAN",12.966,12.616,8.133,13.233,NA,13.46625,NA,NA,60.41425
"ELMARAGHY","Ahmed","m","EGY","23-26 Feb 2023","FIG Apparatus World Cup 2023","qual","Cottbus, Germany",43,5,5.9,NA,10.9,"Ahmed_ELMARAGHY",13.0995714285714,NA,NA,NA,NA,NA,NA,NA,13.0995714285714
"ONDER","Ahmet","m","TUR","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",29,5.7,8.1,NA,13.8,"Ahmet_ONDER",13.0495,11.8996,13.7108333333333,13.5662,13.09975,14.0331666666667,NA,NA,79.35905
"Önder","Ahmet","m","TUR","8-11 Jun 2023","2023 Osijek Challenge Cup","final","Osijek, Croatia.",2,5.8,8,NA,13.8,"Ahmet_Önder",11.7,NA,13.2625,13.3666666666667,NA,NA,NA,NA,38.3291666666667
"SANDOVAL","Ahtziri","w","MEX","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",118,4.9,5.6,NA,10.5,"Ahtziri_SANDOVAL",NA,NA,12.1415,NA,NA,13.2498,10.5,12.95,48.8413
"BAUYRZHANOVA","Aida","w","KAZ","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",97,4.9,6.166,NA,11.066,"Aida_BAUYRZHANOVA",NA,NA,12.2398,NA,NA,11.766,12.133,11.23325,47.37205
"FRICK","Aiden Michael","m","AUS","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",57,4.7,7.8,NA,12.5,"Aiden Michael_FRICK",12.2,11.9,12.5,13.366,11.9,13.066,NA,NA,74.932
"Frick","Aiden","m","AUS","8-11 Jun 2023","2023 Osijek Challenge Cup","qual","Osijek, Croatia.",23,4.7,8,0.2,12.5,"Aiden_Frick",NA,12.575,12.55,13.1,12.2333333333333,NA,NA,NA,50.4583333333333
"ZHU","Aiyu","w","GER","1-5 Aug 2023","2023 FISH World University Games","AAfinal","Chengdu, China",11,4.8,6.833,NA,11.633,"Aiyu_ZHU",NA,NA,11.483,NA,NA,12.9465,11.3995,11.816,47.645
"KARSIKAS","Akseli","m","FIN","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",130,4.8,7.6,0.1,12.3,"Akseli_KARSIKAS",12.222,NA,11.683,10.9443333333333,12.116,12.9331428571429,NA,NA,59.8984761904762
"RAKAN","Al Harith","m","QAT","23-26 Feb 2023","FIG Apparatus World Cup 2023","qual","Cottbus, Germany",39,4.7,8.1,NA,12.8,"Al Harith_RAKAN",NA,12.69975,NA,NA,NA,NA,NA,NA,12.69975
"PEREA","Alais","w","ECU","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",80,4.2,7.2,NA,11.4,"Alais_PEREA",NA,NA,11.8,NA,NA,12.666,11.4,10.9,46.766
"Petisco","Alba","w","ESP","1-4 Jun 2023","2023 Tel Aviv Challenge Cup","final","Tel Aviv, Israel",6,5.4,6.733,NA,12.133,"Alba_Petisco",NA,NA,12.867,NA,NA,12.7335,12.733,NA,38.3335
"PETISCO","Alba","w","ESP","11-14 Aug 2022","2022 Senior European Championships","final","Munich, Germany",6,5.5,6.9,NA,12.4,"Alba_PETISCO",NA,NA,12.77475,NA,NA,13.15775,12.4332,12.99975,51.36545
"PEREZ","Alberto","m","CRC","24-28 Jun 2023","2023 Central American and Caribbean Games","qual","San Salvador, El Salvador",30,3.1,7.05,NA,10.15,"Alberto_PEREZ",10.15,8.4,NA,11.6,10.55,NA,NA,NA,40.7
"DE LA CRUZ","Alejandro","m","CUB","24-28 Jun 2023","2023 Central American and Caribbean Games","qual","San Salvador, El Salvador",29,4.9,6.1,0.3,10.7,"Alejandro_DE LA CRUZ",11.15,11.45,10.7,12.45,13.6,13.1333333333333,NA,NA,72.4833333333333
"GRANDE","Alexa","w","ESA","24-28 Jun 2023","2023 Central American and Caribbean Games","AAfinal","San Salvador, El Salvador",5,4.4,7.35,NA,11.75,"Alexa_GRANDE",NA,NA,11.9,NA,NA,12.3875,11.6666666666667,10.275,46.2291666666667
"MORENO","Alexa","w","MEX","24-28 Jun 2023","2023 Central American and Caribbean Games","AAfinal","San Salvador, El Salvador",15,4.7,6.3,0.1,10.9,"Alexa_MORENO",NA,NA,13.1833333333333,NA,NA,13.575,11.5333333333333,12.425,50.7166666666667
"BENDA","Alexander","m","AUT","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",55,5.5,7.766,NA,13.266,"Alexander_BENDA",12.7996666666667,11.8663333333333,13.383,12.3773333333333,12.144,13.233,NA,NA,75.8033333333333
"Kunz","Alexander","m","GER","1-4 Jun 2023","2023 Tel Aviv Challenge Cup","final","Tel Aviv, Israel",4,5.9,8,0.3,13.6,"Alexander_Kunz",11.5,11.6,13.4,13.35,13.125,13.05,NA,NA,76.025
"KUNZ","Alexander","m","GER","1-5 Aug 2023","2023 FISH World University Games","AAfinal","Chengdu, China",17,5.6,7.4,0.2,12.8,"Alexander_KUNZ",12.8996666666667,12.5776666666667,12.9053333333333,12.922,12.8886666666667,13.5852,NA,NA,77.7785333333333
"Myakinin","Alexander","m","ISR","8-11 Jun 2023","2023 Osijek Challenge Cup","final","Osijek, Croatia.",5,5.7,8,NA,13.7,"Alexander_Myakinin",13.65,12.95,NA,NA,NA,NA,NA,NA,26.6
"MYAKININ","Alexander","m","ISR","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",16,6,8,NA,14,"Alexander_MYAKININ",13.4619090909091,13.0902857142857,NA,12.233,NA,NA,NA,NA,38.7851948051948
"EMEINIDOU","Alexandra","w","GRE","9-12 Mar 2023","World Cup","qual","Baku, Azerbaijan",28,4.1,7.266,NA,11.366,"Alexandra_EMEINIDOU",NA,NA,11.366,NA,NA,11.483,NA,NA,22.849
"HAQUE","Ali Kader","m","BAN","29 Jul-2 Aug 2022","BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England",27,4.5,7.4,0.1,11.8,"Ali Kader_HAQUE",NA,NA,11.8,NA,NA,13.05,NA,NA,24.85
"ZAHRAN","Ali","m","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",22,6.1,7.7,NA,13.8,"Ali_ZAHRAN",NA,NA,NA,NA,14.076,NA,NA,NA,14.076
"LEAT","Alia","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",21,5.4,6,0,11.4,"Alia_LEAT",NA,NA,11.4,NA,NA,13.2,11.4,10.45,46.45
"D AMATO","Alice","w","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England",12,5.3,7.233,NA,12.533,"Alice_D AMATO",NA,NA,13.3693636363636,NA,NA,14.0275,12.7998,14.3941666666667,54.5908303030303
"FRANCOY","Alice","w","BEL","27-30 Apr 2023","World Cup","qual","Cairo, Egypt",25,4.5,6.9,0.3,11.1,"Alice_FRANCOY",NA,NA,11.1,NA,NA,NA,NA,11.166,22.266
"KINSELLA","Alice","w","GBR","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England",6,5.8,7.4,0.1,13.1,"Alice_KINSELLA",NA,NA,13.2830769230769,NA,NA,13.8034444444444,12.9028181818182,13.54,53.5293395493395
"VLKOVA","Alice","w","CZE","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey",24,4.8,4.633,NA,9.433,"Alice_VLKOVA",NA,NA,12.3886666666667,NA,NA,12.872,10.483,11.833,47.5766666666667
"FRIESS","Aline","w","FRA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England",21,5.1,6.366,NA,11.466,"Aline_FRIESS",NA,NA,12.9,NA,NA,13.4664285714286,11.966,12.8264,51.1588285714286
"MOERZ","Alissa","w","AUT","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",94,3.9,7.2,NA,11.1,"Alissa_MOERZ",NA,NA,11.766,NA,NA,NA,11.1,11.9663333333333,34.8323333333333
"GRAIKOS","Alkinoos Nikolaos","m","GRE","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",65,5.5,6.6,NA,12.1,"Alkinoos Nikolaos_GRAIKOS",11.7495,12.333,11.9665,12.533,12.133,13.63,NA,NA,74.345
"ABDULLAH","Ally Hamuda","m","MAS","23-26 Feb 2023","FIG Apparatus World Cup 2023","qual","Cottbus, Germany",46,4.8,5.133,NA,9.933,"Ally Hamuda_ABDULLAH",NA,NA,NA,NA,9.933,NA,NA,NA,9.933
"ERIKSSON","Alva","w","SWE","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",124,4.6,5.7,NA,10.3,"Alva_ERIKSSON",NA,NA,12.1,NA,NA,11.666,10.783,11.983,46.532
"GHIGOARTA","Amalia","w","ROU","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey",10,5.4,7.5,NA,12.9,"Amalia_GHIGOARTA",NA,NA,12.5665,NA,NA,13.0665,12.9776666666667,11.016,49.6266666666667
"DALENE","Amalie","w","NOR","9-12 Mar 2023","World Cup","qual","Baku, Azerbaijan",NA,4.4,7.466,0.3,11.566,"Amalie_DALENE",NA,NA,NA,NA,NA,11.566,NA,NA,11.566
"EDWARDS","Amanda","w","AUS","1-5 Aug 2023","2023 FISH World University Games","AAfinal","Chengdu, China",7,4.5,7.8,NA,12.3,"Amanda_EDWARDS",NA,NA,11.9995,NA,NA,12.0465,11.9165,10.833,46.7955
"KALUKOTTAGE","Amaya Sithumini","w","SRI","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",42,2.8,7.1,NA,9.9,"Amaya Sithumini_KALUKOTTAGE",NA,NA,9.266,NA,NA,11.16,9.9,7.666,37.992
"KALUKOTTAGE","Amaya","w","SRI","29 Jul-2 Aug 2022","BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England",37,2.3,6.25,NA,8.55,"Amaya_KALUKOTTAGE",NA,NA,8.75,NA,NA,NA,8.55,7.15,24.45
"HARIADI","Ameera","w","INA","9-12 Mar 2023","World Cup","qual","Baku, Azerbaijan",38,4.4,5.966,NA,10.366,"Ameera_HARIADI",NA,NA,11.2995,NA,NA,11.8745,10.6995,11.5,45.3735
"ATTWOOD","Amelie","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",36,4.7,5.85,0,10.55,"Amelie_ATTWOOD",NA,NA,11.35,NA,NA,11.85,10.55,10.2,43.95
"PFEIL","Amelie","w","GE2","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",37,3.9,7.1,NA,11,"Amelie_PFEIL",NA,NA,11,NA,NA,6.225,NA,12.05,29.275
"EVERY","Amika","w","ARU","24-28 Jun 2023","2023 Central American and Caribbean Games","qual","San Salvador, El Salvador",31,4,5.6,NA,9.6,"Amika_EVERY",NA,NA,6.725,NA,NA,12.3,9.6,9.8,38.425
"KHALIMARDEN","Amina","w","KAZ","9-12 Mar 2023","World Cup","qual","Baku, Azerbaijan",46,4.4,5.066,NA,9.466,"Amina_KHALIMARDEN",NA,NA,NA,NA,NA,12.1165,9.466,10,31.5825
"MENDEZ","Ana Karina","w","PER","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",136,4.5,5.366,0.1,9.766,"Ana Karina_MENDEZ",NA,NA,11.633,NA,NA,12.3,9.766,12.266,45.965
"Lima","Ana Luiza","w","","8-11 Jun 2023","2023 Osijek Challenge Cup","qual","Osijek, Croatia.",22,5.1,5.7,NA,10.8,"Ana Luiza_Lima",NA,NA,NA,NA,NA,NA,10.8,NA,10.8
"BARBOSU","Ana","w","ROU","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England",10,5.6,7.133,NA,12.733,"Ana_BARBOSU",NA,NA,12.8854285714286,NA,NA,12.8332,12.6775,13.2864,51.6825285714286
"DEREK","Ana","w","CRO","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",20,5.4,7.266,NA,12.666,"Ana_DEREK",NA,NA,12.766,NA,NA,NA,12.666,NA,25.432
"Perez","Ana","w","ESP","1-4 Jun 2023","2023 Tel Aviv Challenge Cup","qual","Tel Aviv, Israel",4,5.1,8.033,NA,13.133,"Ana_Perez",NA,NA,NA,NA,NA,NA,13,11.533,24.533
"PEREZ","Ana","w","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",13,5.1,7.633,NA,12.733,"Ana_PEREZ",NA,NA,12.166,NA,NA,NA,12.733,13.4,38.299
"ANANJEVA","Anastasija","w","LAT","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",117,4.7,3.533,NA,8.233,"Anastasija_ANANJEVA",NA,NA,11.3,NA,NA,11.983,9.4665,9.3665,42.116
"JAUKOVIC","Andela","w","SRB","25-28 May 2023","2023 Varna World Challenge Cup Results","qual","Varna, Bulgaria",21,4.2,5.6,0,9.8,"Andela_JAUKOVIC",NA,NA,9.8,NA,NA,NA,NA,NA,9.8
"CINGOLANI","Andrea","m","ITA","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",11,6,8.066,NA,14.066,"Andrea_CINGOLANI",NA,NA,NA,NA,13.766,13.2,NA,NA,26.966
"TOBA","Andreas","m","GER","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",50,5.4,7.733,NA,13.133,"Andreas_TOBA",12.9396,13.433,13.616,13.2553333333333,13.6578333333333,11.472,NA,NA,78.3737666666667
"PREDA","Andreea","w","ROU","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",52,4.9,7.066,NA,11.966,"Andreea_PREDA",NA,NA,12.2996666666667,NA,NA,12.7,12.1773333333333,11.383,48.56
"MUNTEAN","Andrei Vasile","m","ROU","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",110,5.2,6.9,NA,12.1,"Andrei Vasile_MUNTEAN",12.8,NA,12.93325,14.422,13.6886666666667,14.0886666666667,NA,NA,67.9325833333333
"MARTINEZ","Andres","m","COL","24-28 Jun 2023","2023 Central American and Caribbean Games","AAfinal","San Salvador, El Salvador",13,5.2,7.9,0.4,12.7,"Andres_MARTINEZ",12.6,12.8,13.1666666666667,12.825,12.25,13.425,NA,NA,77.0666666666667
"MARTINEZ MORENO","Andres","m","COL","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",127,3.9,7.233,NA,11.133,"Andres_MARTINEZ MORENO",12.883,11.0415,11.72475,12.9,12,13.766,NA,NA,74.31525
"PEREZ","Andres","m","PUR","24-28 Jun 2023","2023 Central American and Caribbean Games","AAfinal","San Salvador, El Salvador",11,5.2,7.65,NA,12.85,"Andres_PEREZ",12.5833333333333,11.7833333333333,12.85,12.85,11.9,13.375,NA,NA,75.3416666666667
"VILLEGAS","Andres","m","CRC","24-28 Jun 2023","2023 Central American and Caribbean Games","AAfinal","San Salvador, El Salvador",15,3.8,8.15,NA,11.95,"Andres_VILLEGAS",9.875,6.2,11.8,11.475,10.475,12.175,NA,NA,62
"MEDVEDEV","Andrey","m","ISR","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",109,4,8.133,NA,12.133,"Andrey_MEDVEDEV",NA,NA,12.133,NA,12.744,14.107,NA,NA,38.984
"FREY","Andrin","m","SUI","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",60,6,7.533,0.3,13.233,"Andrin_FREY",12.0495,12.3553333333333,13.5553333333333,12.6,12.783,13.8132,NA,NA,77.1563666666667
"Turiski","Andy","w","ISR","1-4 Jun 2023","2023 Tel Aviv Challenge Cup","qual","Tel Aviv, Israel",19,4.2,6.467,NA,10.667,"Andy_Turiski",NA,NA,10.667,NA,NA,12.3335,NA,NA,23.0005
"TURISKI","Andy","w","ISR","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",80,4.5,6.433,NA,10.933,"Andy_TURISKI",NA,NA,10.433,NA,NA,12.133,9.9,9.783,42.249
"RODRIGUEZ","Anelena","w","CRC","24-28 Jun 2023","2023 Central American and Caribbean Games","qual","San Salvador, El Salvador",14,4,7.15,NA,11.15,"Anelena_RODRIGUEZ",NA,NA,11.35,NA,NA,12.5,11.15,12.05,47.05
"HOLASOVA","Aneta","w","CZE","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",95,5.3,5.8,NA,11.1,"Aneta_HOLASOVA",NA,NA,12.583,NA,NA,12.85,10.9665,12.083,48.4825
"ANDREOLI","Angela","w","ITA","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",21,6.1,6.566,NA,12.666,"Angela_ANDREOLI",NA,NA,13.4996666666667,NA,NA,12.76625,12.666,NA,38.9319166666667
"MESA","Angelica","w","COL","24-28 Jun 2023","2023 Central American and Caribbean Games","qual","San Salvador, El Salvador",22,3.7,6.8,NA,10.5,"Angelica_MESA",NA,NA,11.8,NA,NA,11.725,10.5,11.25,45.275
"PONCE","Angelissa","w","CUB","24-28 Jun 2023","2023 Central American and Caribbean Games","qual","San Salvador, El Salvador",29,4.3,5.65,NA,9.95,"Angelissa_PONCE",NA,NA,11.9,NA,NA,11.75,9.95,NA,33.6
"GOBADZE","Ani","w","GEO","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",99,4.3,5.833,0.1,10.033,"Ani_GOBADZE",NA,NA,10.2883333333333,NA,NA,11.766,9.76633333333333,9.4495,41.2701666666667
"WILDI","Anina","w","SUI","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",112,4.9,5.8,NA,10.7,"Anina_WILDI",NA,NA,12.3995,NA,NA,12.4776666666667,9.9,12.0665,46.8436666666667
