LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Rank,D_Score,E_Score,Penalty,Score,HB,PH,FX,PB,SR,VT,BB,UB,index
KARSIKAS,Akseli,m,FIN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",130.0,4.8,7.6,0.1,12.3,12.222,,11.683,10.944333333333333,12.116,12.933142857142856,,,4828
RAKAN,Al Harith,m,QAT,23-26 Feb 2023,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",39.0,4.7,8.1,,12.8,,12.69975,,,,,,,8651
PEREA,Alais,w,ECU,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",80.0,4.2,7.2,,11.4,,,11.8,,,12.666,11.4,10.9,8177
PETISCO,Alba,w,ESP,11-14 Aug 2022,2022 Senior European Championships,final,"Munich, Germany",6.0,5.5,6.9,,12.4,,,12.774750000000001,,,13.15775,12.433200000000001,12.99975,8245
Petisco,Alba,w,ESP,1-4 Jun 2023,2023 Tel Aviv Challenge Cup,final,"Tel Aviv, Israel",6.0,5.4,6.733,,12.133,,,12.867,,,12.7335,12.733,,8560
PEREZ,Alberto,m,CRC,24-28 Jun 2023,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",30.0,3.1,7.05,,10.15,10.15,8.4,,11.6,10.55,,,,8191
DE LA CRUZ,Alejandro,m,CUB,24-28 Jun 2023,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",29.0,4.9,6.1,0.3,10.7,11.15,11.45,10.7,12.45,13.600000000000001,13.133333333333333,,,2197
GRANDE,Alexa,w,ESA,24-28 Jun 2023,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",5.0,4.4,7.35,,11.75,,,11.9,,,12.3875,11.666666666666666,10.275,3520
MORENO,Alexa,w,MEX,24-28 Jun 2023,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",15.0,4.7,6.3,0.1,10.9,,,13.183333333333335,,,13.575,11.533333333333333,12.425,7231
BENDA,Alexander,m,AUT,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",55.0,5.5,7.766,,13.266,12.799666666666667,11.866333333333335,13.383,12.377333333333333,12.144,13.232999999999999,,,972
KUNZ,Alexander,m,GER,1-5 Aug 2023,2023 FISH World University Games,AAfinal,"Chengdu, China",17.0,5.6,7.4,0.2,12.8,12.899666666666667,12.577666666666666,12.905333333333333,12.921999999999999,12.888666666666666,13.5852,,,5583
Kunz,Alexander,m,GER,1-4 Jun 2023,2023 Tel Aviv Challenge Cup,final,"Tel Aviv, Israel",4.0,5.9,8.0,0.3,13.6,11.5,11.6,13.399999999999999,13.35,13.125,13.05,,,5736
MYAKININ,Alexander,m,ISR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",16.0,6.0,8.0,,14.0,13.46190909090909,13.090285714285713,,12.233,,,,,7364
Myakinin,Alexander,m,ISR,8-11 Jun 2023,2023 Osijek Challenge Cup,final,"Osijek, Croatia.",5.0,5.7,8.0,,13.7,13.65,12.95,,,,,,,7486
EMEINIDOU,Alexandra,w,GRE,9-12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",28.0,4.1,7.266,,11.366,,,11.366,,,11.483,,,2722
ZAHRAN,Ali,m,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",22.0,6.1,7.7,,13.8,,,,,14.075999999999999,,,,11752
HAQUE,Ali Kader,m,BAN,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",27.0,4.5,7.4,0.1,11.8,,,11.8,,,13.05,,,3762
LEAT,Alia,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",21.0,5.4,6.0,0.0,11.4,,,11.4,,,13.2,11.4,10.45,5861
D AMATO,Alice,w,ITA,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",12.0,5.3,7.233,,12.533,,,13.369363636363635,,,14.027499999999998,12.7998,14.394166666666669,1976
FRANCOY,Alice,w,BEL,27-30 Apr 2023,World Cup,qual,"Cairo, Egypt",25.0,4.5,6.9,0.3,11.1,,,11.1,,,,,11.166,3008
KINSELLA,Alice,w,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",6.0,5.8,7.4,0.1,13.1,,,13.283076923076923,,,13.803444444444445,12.90281818181818,13.54,5062
VLKOVA,Alice,w,CZE,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",24.0,4.8,4.633,,9.433,,,12.388666666666667,,,12.872,10.483,11.833,11250
FRIESS,Aline,w,FRA,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",21.0,5.1,6.366,,11.466,,,12.9,,,13.466428571428574,11.966,12.826400000000001,3077
MOERZ,Alissa,w,AUT,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",94.0,3.9,7.2,,11.1,,,11.766,,,,11.1,11.966333333333333,7073
GRAIKOS,Alkinoos Nikolaos,m,GRE,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",65.0,5.5,6.6,,12.1,11.7495,12.333,11.9665,12.533,12.133,13.63,,,3511
ABDULLAH,Ally Hamuda,m,MAS,23-26 Feb 2023,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",46.0,4.8,5.133,,9.933,,,,,9.933,,,,110
ERIKSSON,Alva,w,SWE,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",124.0,4.6,5.7,,10.3,,,12.1,,,11.666,10.783000000000001,11.983,2762
GHIGOARTA,Amalia,w,ROU,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",10.0,5.4,7.5,,12.9,,,12.566500000000001,,,13.0665,12.977666666666666,11.016,3400
DALENE,Amalie,w,NOR,9-12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",,4.4,7.466,0.3,11.566,,,,,,11.566,,,2034
EDWARDS,Amanda,w,AUS,1-5 Aug 2023,2023 FISH World University Games,AAfinal,"Chengdu, China",7.0,4.5,7.8,,12.3,,,11.9995,,,12.0465,11.9165,10.833,2663
KALUKOTTAGE,Amaya,w,SRI,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",37.0,2.3,6.25,,8.55,,,8.75,,,,8.55,7.15,4620
KALUKOTTAGE,Amaya Sithumini,w,SRI,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",42.0,2.8,7.1,,9.9,,,9.266,,,11.16,9.9,7.666,4623
HARIADI,Ameera,w,INA,9-12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",38.0,4.4,5.966,,10.366,,,11.299499999999998,,,11.874500000000001,10.6995,11.5,3783
ATTWOOD,Amelie,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",36.0,4.7,5.85,0.0,10.55,,,11.35,,,11.85,10.55,10.2,619
PFEIL,Amelie,w,GE2,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",37.0,3.9,7.1,,11.0,,,11.0,,,6.225,,12.05,8286
EVERY,Amika,w,ARU,24-28 Jun 2023,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",31.0,4.0,5.6,,9.6,,,6.725,,,12.3,9.6,9.8,2885
KHALIMARDEN,Amina,w,KAZ,9-12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",46.0,4.4,5.066,,9.466,,,,,,12.116499999999998,9.466,10.0,4999
BARBOSU,Ana,w,ROU,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",10.0,5.6,7.133,,12.733,,,12.885428571428571,,,12.8332,12.6775,13.286399999999997,874
DEREK,Ana,w,CRO,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",20.0,5.4,7.266,,12.666,,,12.766,,,,12.666,,2305
PEREZ,Ana,w,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",13.0,5.1,7.633,,12.733,,,12.166,,,,12.733,13.4,8195
Perez,Ana,w,ESP,1-4 Jun 2023,2023 Tel Aviv Challenge Cup,qual,"Tel Aviv, Israel",4.0,5.1,8.033,,13.133,,,,,,,13.0,11.533,8553
MENDEZ,Ana Karina,w,PER,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",136.0,4.5,5.366,0.1,9.766,,,11.633,,,12.3,9.766,12.266,6829
Lima,Ana Luiza,w,,8-11 Jun 2023,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",22.0,5.1,5.7,,10.8,,,,,,,10.8,,6255
ANANJEVA,Anastasija,w,LAT,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",117.0,4.7,3.533,,8.233,,,11.3,,,11.983,9.4665,9.366499999999998,338
JAUKOVIC,Andela,w,SRB,25-28 May 2023,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",21.0,4.2,5.6,0.0,9.8,,,9.8,,,,,,4400
CINGOLANI,Andrea,m,ITA,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",11.0,6.0,8.066,,14.066,,,,,13.766,13.2,,,1796
TOBA,Andreas,m,GER,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",50.0,5.4,7.733,,13.133,12.939600000000002,13.433000000000002,13.616,13.255333333333333,13.657833333333334,11.472,,,10516
PREDA,Andreea,w,ROU,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",52.0,4.9,7.066,,11.966,,,12.299666666666667,,,12.7,12.177333333333332,11.383,8494
MUNTEAN,Andrei Vasile,m,ROU,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",110.0,5.2,6.9,,12.1,12.8,,12.933250000000001,14.421999999999997,13.688666666666668,14.088666666666667,,,7347
MARTINEZ,Andres,m,COL,24-28 Jun 2023,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",13.0,5.2,7.9,0.4,12.7,12.6,12.799999999999999,13.166666666666666,12.825,12.25,13.425,,,6538
MARTINEZ MORENO,Andres,m,COL,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",127.0,3.9,7.233,,11.133,12.883,11.0415,11.72475,12.9,12.0,13.766,,,6587
PEREZ,Andres,m,PUR,24-28 Jun 2023,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",11.0,5.2,7.65,,12.85,12.583333333333334,11.783333333333333,12.85,12.85,11.899999999999999,13.375,,,8198
VILLEGAS,Andres,m,CRC,24-28 Jun 2023,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",15.0,3.8,8.15,,11.95,9.875,6.199999999999999,11.8,11.475,10.475,12.175,,,11190
MEDVEDEV,Andrey,m,ISR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",109.0,4.0,8.133,,12.133,,,12.133,,12.744,14.107,,,6779
FREY,Andrin,m,SUI,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",60.0,6.0,7.533,0.3,13.233,12.0495,12.355333333333334,13.555333333333332,12.600000000000001,12.783000000000001,13.8132,,,3053
TURISKI,Andy,w,ISR,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",80.0,4.5,6.433,,10.933,,,10.433,,,12.133,9.9,9.783,10814
Turiski,Andy,w,ISR,1-4 Jun 2023,2023 Tel Aviv Challenge Cup,qual,"Tel Aviv, Israel",19.0,4.2,6.467,,10.667,,,10.667,,,12.3335,,,10881
RODRIGUEZ,Anelena,w,CRC,24-28 Jun 2023,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",14.0,4.0,7.15,,11.15,,,11.35,,,12.5,11.15,12.05,8901
HOLASOVA,Aneta,w,CZE,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",95.0,5.3,5.8,,11.1,,,12.583,,,12.850000000000001,10.9665,12.083,4040
ANDREOLI,Angela,w,ITA,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",21.0,6.1,6.566,,12.666,,,13.499666666666664,,,12.76625,12.666,,360
MESA,Angelica,w,COL,24-28 Jun 2023,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",22.0,3.7,6.8,,10.5,,,11.8,,,11.725,10.5,11.25,6846
PONCE,Angelissa,w,CUB,24-28 Jun 2023,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",29.0,4.3,5.65,,9.95,,,11.9,,,11.75,9.95,,8439
GOBADZE,Ani,w,GEO,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",99.0,4.3,5.833,0.1,10.033,,,10.288333333333334,,,11.766,9.766333333333334,9.4495,3456
WILDI,Anina,w,SUI,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",112.0,4.9,5.8,,10.7,,,12.3995,,,12.477666666666666,9.899999999999999,12.0665,11515
BRIDGE,Anna,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",66.0,4.0,2.75,0.0,6.75,,,10.15,,,11.85,6.75,9.8,1263
GEMZA,Anna,w,POL,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",89.0,4.1,5.9,,10.0,,,9.7,,,,10.0,11.466,3320
LASHCHEVSKA,Anna,w,UKR,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",53.0,5.7,5.633,0.1,11.233,,,11.666,,,12.733,12.537714285714285,12.671999999999999,5843
LOCMELE,Anna,w,LAT,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",114.0,4.4,4.6,,9.0,,,9.466,,,11.833,9.0,6.0,6134
KOENIG,Anna Lena,w,GER,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",55.0,4.6,7.333,,11.933,,,12.87475,,,13.083,11.8165,12.066,5206
KÖNIG,Anna-Lena,w,GER,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",39.0,4.0,7.0,0.1,10.9,,,12.35,,,6.575,10.9,10.4,5752
Burrows,Annabelle,w,AUS,8-11 Jun 2023,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",17.0,4.6,6.833,,11.433,,,12.5165,,,12.79975,11.433,11.966,1434
KAMANGA,Annais Ornella,w,GBR,23-26 Mar 2023,2023 British Gymnastics Championships,qual,"Liverpool, England",40.0,4.4,5.4,0.0,9.8,,,11.4,,,12.5125,9.8,9.9,4627
NEWMAN ACHEE,Annalise,w,TTO,24-28 Jun 2023,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",3.0,4.8,7.45,,12.25,,,11.1,,,12.975,11.049999999999999,10.674999999999999,7654
NEWMAN ACHEE,Annalise Becca,w,TTO,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",123.0,4.2,6.133,,10.333,,,11.7,,,13.0,10.333,8.566,7666
WU,Anny,w,SUI,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",44.0,4.8,7.4,,12.2,,,11.966,,,12.6165,10.233,12.283,11563
ERCEGOVIC,Antea,w,CRO,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",115.0,3.2,7.366,0.6,9.966,,,9.966,,,,,,2738
JAASKELAINEN,Anton,m,FIN,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",62.0,4.0,7.866,,11.866,11.866,10.8,,12.5,11.466,,,,4289
DUTA,Antonia,w,ROU,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",80.0,4.5,6.666,0.1,11.066,,,11.333,,,12.5,11.066,12.4,2624
MARIHUAN,Antonia,w,CHI,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",146.0,3.3,5.266,0.1,8.466,,,,,,,8.466,10.833,6508
TANTALIDIS,Antonios,m,GRE,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",112.0,5.6,6.566,0.3,11.866,10.966,11.511000000000001,12.1995,13.166,12.7,13.666,,,10304
VARJOLAAKSO,Antti Juhani,m,FIN,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",60.0,4.5,7.766,,12.266,11.566,12.2,12.266,11.733,12.266,13.066,,,11035
HRIBAR,Anze,m,SLO,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",93.0,5.7,6.833,,12.533,11.9064,10.8,10.053,12.733,11.8995,13.733,,,4104
MORI,Aoka,w,JPN,9-12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",12.0,5.1,7.533,,12.633,,,,,,,12.633,12.9,7294
KANELLOS,Apostolos,m,GRE,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",103.0,4.7,7.766,0.1,12.366,11.7198,12.016250000000001,12.232666666666667,10.621999999999998,10.783000000000001,12.854999999999999,,,4662
FEDERICI,Ares,m,ITA,27-30 Apr 2023,World Cup,qual,"Cairo, Egypt",10.0,6.2,7.433,0.3,13.333,13.033,,13.333,,12.8,13.383,,,2899
PAGONI,Areti Paraskevi,w,GRE,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",72.0,4.7,6.866,,11.566,,,11.37475,,,11.733,10.31625,10.64125,7992
BELARDELLI,Arianna,w,ITA,9-12 Mar 2023,World Cup,final,"Baku, Azerbaijan",2.0,5.3,7.8,0.3,12.8,,,12.6165,,,,,12.833,955
OLENOVA,Arina,w,LAT,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",107.0,4.1,5.366,,9.466,,,11.233,,,11.983,9.366,8.616,7807
Jonasson,Arnthor,m,,8-11 Jun 2023,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",23.0,4.9,7.35,,12.25,,12.25,,,,,,,4580
JACOBSEN,Aron,m,DEN,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",76.0,4.7,7.966,,12.666,11.166,10.883,12.666,11.5,12.033,12.366,,,4293
DOLGOPYAT,Artem,m,ISR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",73.0,5.9,7.1,,13.0,12.833,12.766200000000001,14.395375000000001,13.583,13.166,14.312124999999998,,,2480
MARIANO,Arthur,m,BRA,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",19.0,5.5,8.6,,14.1,14.416,12.0,14.1,12.4,,13.9,,,6502
Mariano,Arthur,m,,8-11 Jun 2023,2023 Osijek Challenge Cup,final,"Osijek, Croatia.",4.0,5.3,8.366,,13.666,14.058,,13.783000000000001,,,,,,7391
Zanetti,Arthur,m,,8-11 Jun 2023,2023 Osijek Challenge Cup,final,"Osijek, Croatia.",2.0,6.2,8.333,,14.533,,,,,14.5665,,,,11928
